currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,365.000,$,40.0,Avda. Cabildo (y Newbery) 300,192,3,10000,2,7,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,64.000,$,21.826,CABELLO al 3300,38,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,198.000,$,32.0,GORRITI al 6000,80,4,10000,2,5,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,120.000,$,4.1,GORRITI al 4800,55,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,196.000,$,19.5,PALERMO_AV L M CAMPOS 1000_VTA DEPTO 4 AMB-RECICLADO_81M2,75,3,10000,1,4,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,399.000,$,32.0,Coronel Niceto Vega 5600,142,5,10000,4,6,0,Excelente ,Contra Frente ,1,0,0,0,0,0,0,0,1,0,0
USD,219.000,$,32.0,"Av Gral Luis Maria Campos 1300, Piso 5",78,2,10000,3,3,0,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,126.000,$,3.7,"Cabrera  3300 6°  3300, Piso 6",1,2,45,1,3,0,Muy Bueno ,Contrafrente ,0,1,0,0,0,0,0,0,0,1,0
USD,350.000,$,33.8,"Dorrego 2400, Piso 2",89,3,10000,2,4,1,Excelente ,Contra Frente ,1,0,0,0,0,0,0,0,1,0,0
USD,170.000,$,8.5,Godoy Cruz 2800,58,1,10000,2,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,127.000,$,13.468,MEDRANO al 1600,52,2,10000,1,3,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,104.000,$,9.555,JERONIMO SALGUERO al 1500,43,1,10000,1,2,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
